enzymes,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53,bin_54,bin_55,bin_56,bin_57,bin_58,bin_59,bin_60,bin_61,bin_62,bin_63,bin_64,bin_65,bin_66,bin_67,bin_68,bin_69,bin_70,bin_71,bin_72,bin_73,bin_74,bin_75,bin_76,bin_77,bin_78,bin_79,bin_80,bin_81,bin_82,bin_83,bin_84,bin_85,bin_86,bin_87,bin_88,bin_89,bin_90,bin_91,bin_92,bin_93,bin_94,bin_95,bin_96,bin_97,bin_98,bin_99,bin_100,bin_101,bin_102,bin_103,bin_104,bin_105,bin_106,bin_107,bin_108,bin_109,bin_110,bin_111,bin_112,bin_113,bin_114,bin_115,bin_116,bin_117,bin_118,bin_119,bin_120,bin_121,bin_122,bin_123,bin_124,bin_125,bin_126,bin_127,bin_128,bin_129,bin_130,bin_131,bin_132,bin_133,bin_134,bin_135,bin_136,bin_137,bin_138,bin_139,bin_140,bin_141,bin_142,bin_143,bin_144,bin_145,bin_146,bin_147,bin_148,bin_149,bin_150,bin_151,bin_152,bin_153,bin_154,bin_155,bin_156,bin_157,bin_158,bin_159,bin_160,bin_161,bin_162,bin_163,bin_164,bin_165,bin_166,bin_167,bin_168,bin_169,bin_170,bin_171,bin_172,bin_173,bin_174,bin_175,bin_176,bin_177,bin_178,bin_179,bin_180,bin_181,bin_182,bin_183,bin_184,bin_185,bin_186,bin_187,bin_188,bin_189,bin_190,bin_191,bin_192,bin_193,bin_194,bin_195,bin_196,bin_197,bin_198,bin_199,bin_200,bin_201,bin_202,bin_203,bin_204,bin_205,bin_206,bin_207,bin_208,bin_209,bin_210,bin_211,bin_212,bin_213,bin_214,bin_215,bin_216,bin_217,bin_218,bin_219,bin_220,bin_221,bin_222,bin_223,bin_224,bin_225,bin_226,bin_227,bin_228,bin_229,bin_230,bin_231,bin_232,bin_233,bin_234,bin_235,bin_236,bin_237,bin_238,bin_239,bin_240,bin_241,bin_242,bin_243,bin_244,bin_245,bin_246,bin_247,bin_248,bin_249,bin_250,bin_251,bin_252,bin_253,bin_254,bin_255,bin_256,bin_257,bin_258,bin_259,bin_260,bin_261,bin_262,bin_263,bin_264,bin_265,bin_266,bin_267,bin_268,bin_269,bin_270,bin_271,bin_272,bin_273,bin_274,bin_275,bin_276,bin_277,bin_278,bin_279,bin_280,bin_281,bin_282,bin_283,bin_284,bin_285,bin_286,bin_287,bin_288,bin_289,bin_290,bin_291,bin_292,bin_293,bin_294,bin_295,bin_296,bin_297,bin_298,bin_299,bin_300,bin_301,bin_302,bin_303,bin_304,bin_305,bin_306,bin_307,bin_308,bin_309,bin_310,bin_311,bin_312,bin_313,bin_314,bin_315,bin_316,bin_317,bin_318,bin_319,bin_320,bin_321,bin_322,bin_323,bin_324,bin_325,bin_326,bin_327,bin_328,bin_329,bin_330,bin_331,bin_332,bin_333,bin_334,bin_335,bin_336,bin_337,bin_338,bin_339,bin_340,bin_341,bin_342,bin_343,bin_344,bin_345,bin_346,bin_347,bin_348,bin_349,bin_350,bin_351,bin_352,bin_353,bin_354,bin_355,bin_356,bin_357,bin_358,bin_359,bin_360
"pr_superworm_PB_2b_NODE_648_length_47758_cov_1.937457_24_rank:_C;_cytochrome_c_biogenesis_protein_CcmG,_thiol:disulfide_interchange_protein_DsbE_(db=kegg)_ranked_1.csv",0.1,0.188888889,0.211111111,0.122222222,0.033333333,0.011111111,-6.94E-18,-6.94E-18,-6.94E-18,-6.94E-18,-6.94E-18,-6.94E-18,-6.94E-18,-6.94E-18,-6.94E-18,-6.94E-18,-6.94E-18,-6.94E-18,-6.94E-18,0.05,0.094444444,0.105555556,0.061111111,0.016666667,0.005555556,-3.47E-18,-3.47E-18,-3.47E-18,-3.47E-18,-3.47E-18,-3.47E-18,-3.47E-18,-3.47E-18,-3.47E-18,-3.47E-18,-3.47E-18,-3.47E-18,-3.47E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pr_mealworm_Control_1a_NODE_7_length_609704_cov_17.735887_259_rank:_C;_glutathione_peroxidase_EC:1.11.1.9_(db=kegg)_ranked_1.csv,0.037037037,0.111111111,0.148148148,0.111111111,0.074074074,0.037037037,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0.018518519,0.074074074,0.092592593,0.074074074,0.037037037,0.018518519,0.018518519,9.25E-18,9.25E-18,9.25E-18,9.25E-18,9.25E-18,9.25E-18,9.25E-18,9.25E-18,9.25E-18,9.25E-18,9.25E-18,9.25E-18,0,0.037037037,0.037037037,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17E-18,6.17E-18,6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17E-18,6.17E-18,6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17E-18,6.17E-18,6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17E-18,6.17E-18,6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17E-18,6.17E-18,6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17E-18,6.17E-18,6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17E-18,6.17E-18,6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17E-18,6.17E-18,6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17E-18,6.17E-18,6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17E-18,6.17E-18,6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17E-18,6.17E-18,6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17E-18,6.17E-18,6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17E-18,6.17E-18,6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17E-18,6.17E-18,6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17E-18,6.17E-18,6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17E-18,6.17E-18,6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pr_superworm_PB_1b_NODE_9724_length_3900_cov_0.861649_3_rank:_C;_nucleoredoxin_EC:1.8.1.8_(db=kegg)_ranked_1.csv,0.051282051,0.145299145,0.145299145,0.145299145,0.034188034,0.017094017,0.017094017,0.017094017,0.017094017,4.63E-18,4.63E-18,4.63E-18,4.63E-18,4.63E-18,4.63E-18,4.63E-18,4.63E-18,4.63E-18,4.63E-18,0.025641026,0.076923077,0.076923077,0.076923077,0.017094017,0.008547009,0.008547009,0.008547009,0.008547009,2.31E-18,2.31E-18,2.31E-18,2.31E-18,2.31E-18,2.31E-18,2.31E-18,2.31E-18,2.31E-18,2.31E-18,0,0.008547009,0.008547009,0.008547009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.17E-18,-6.17E-18,-6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.17E-18,-6.17E-18,-6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.17E-18,-6.17E-18,-6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.17E-18,-6.17E-18,-6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.17E-18,-6.17E-18,-6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.17E-18,-6.17E-18,-6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.17E-18,-6.17E-18,-6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.17E-18,-6.17E-18,-6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.17E-18,-6.17E-18,-6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.17E-18,-6.17E-18,-6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.17E-18,-6.17E-18,-6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.17E-18,-6.17E-18,-6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.17E-18,-6.17E-18,-6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.17E-18,-6.17E-18,-6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.17E-18,-6.17E-18,-6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0.008547009,0.008547009,0.008547009,0,-6.17E-18,-6.17E-18,-6.17E-18,0,0,0,0,0,0,0,0,0,0,0,0,0.017094017,0.017094017,0.017094017
pr_superworm_PB_2b_NODE_7688_length_5097_cov_1.786720_4_rank:_C;_glutathione_peroxidase_EC:1.11.1.9_(db=kegg)_ranked_1.csv,0.031746032,0.126984127,0.142857143,0.142857143,0.047619048,0.031746032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015873016,0.079365079,0.095238095,0.095238095,0.031746032,0.015873016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031746032,0.047619048,0.047619048,0.015873016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pr_superworm_PB_1a_NODE_2769_length_11232_cov_1.687888_9_rank:_C;_glutathione_peroxidase_EC:1.11.1.9_(db=kegg)_ranked_1.csv,0,0.111111111,0.148148148,0.185185185,0.111111111,0.074074074,0.037037037,1.85E-17,1.85E-17,1.85E-17,1.85E-17,1.85E-17,1.85E-17,1.85E-17,1.85E-17,1.85E-17,1.85E-17,1.85E-17,1.85E-17,0,0.055555556,0.074074074,0.092592593,0.055555556,0.037037037,0.018518519,9.25E-18,9.25E-18,9.25E-18,9.25E-18,9.25E-18,9.25E-18,9.25E-18,9.25E-18,9.25E-18,9.25E-18,9.25E-18,9.25E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pr_superworm_Styrofoam_3b_NODE_6157_length_4293_cov_1.126980_1_rank:_E_ranked_1.csv,0.052287582,0.104575163,0.156862745,0.117647059,0.065359477,0.013071895,-9.25E-18,-9.25E-18,-9.25E-18,-9.25E-18,-9.25E-18,-9.25E-18,-9.25E-18,-9.25E-18,-9.25E-18,-9.25E-18,-9.25E-18,-9.25E-18,-9.25E-18,0.026143791,0.052287582,0.078431373,0.058823529,0.032679739,0.006535948,-4.63E-18,-4.63E-18,-4.63E-18,-4.63E-18,-4.63E-18,-4.63E-18,-4.63E-18,-4.63E-18,-4.63E-18,-4.63E-18,-4.63E-18,-4.63E-18,-4.63E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006535948,0.006535948,0.006535948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006535948,0.006535948,0.006535948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006535948,0.006535948,0.006535948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006535948,0.006535948,0.013071895,0.013071895,0.013071895,0.006535948,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013071895,0.013071895,0.026143791,0.026143791,0.026143791,0.013071895
pr_superworm_Standard_1a_NODE_14_length_400545_cov_3.015621_296_rank:_C;_glutathione_peroxidase_EC:1.11.1.9_(db=kegg)_ranked_1.csv,0.049382716,0.086419753,0.135802469,0.086419753,0.074074074,0.024691358,0.024691358,0,0,0,0,0,0,0,0,0,0,0,0,0.024691358,0.049382716,0.074074074,0.049382716,0.037037037,0.012345679,0.012345679,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012345679,0.012345679,0.012345679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024691358,0.024691358,0.024691358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049382716,0.049382716,0.049382716,0
pr_mealworm_Control_1a_NODE_4_length_703269_cov_18.367973_159_rank:_C;_nucleoredoxin_EC:1.8.1.8_(db=kegg)_ranked_1.csv,0.084656085,0.121693122,0.153439153,0.111111111,0.063492063,0.021164021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042328042,0.063492063,0.079365079,0.058201058,0.031746032,0.010582011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005291005,0.005291005,0.005291005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005291005,0.010582011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010582011,0.010582011,0.010582011,0.005291005,0.010582011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021164021,0.021164021,0.021164021,0.005291005,0.010582011
"pr_superworm_Control_1a_NODE_13_length_467215_cov_8.127462_332_rank:_C;_cytochrome_c_biogenesis_protein_CcmG,_thiol:disulfide_interchange_protein_DsbE_(db=kegg)_ranked_1.csv",0.063492063,0.148148148,0.17989418,0.137566138,0.042328042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031746032,0.074074074,0.08994709,0.068783069,0.021164021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005291005,0.010582011,0.015873016,0.010582011,0.005291005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010582011,0.021164021,0.031746032,0.021164021,0.010582011
pr_superworm_PB_1b_NODE_8257_length_4352_cov_1.862959_2_rank:_E_ranked_1.csv,0.104575163,0.169934641,0.183006536,0.08496732,0.019607843,0.006535948,-2.31E-17,-2.31E-17,-2.31E-17,-2.31E-17,-2.31E-17,-2.31E-17,-2.31E-17,-2.31E-17,-2.31E-17,-2.31E-17,-2.31E-17,-2.31E-17,-2.31E-17,0.052287582,0.08496732,0.091503268,0.045751634,0.013071895,0.006535948,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,0,0,0,0.006535948,0.006535948,0.006535948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006535948,0.013071895,0.019607843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013071895,0.026143791,0.039215686
